"word","producao.30m","categoria","icon"
"cobertor",0.521472392638037,"subst",3.11111111111111
"cobra",0.45398773006135,"subst",1.26315789473684
"cocorico",0.742331288343558,"onom+int",4.71428571428571
"coelho",0.742331288343558,"subst",-0.761904761904762
"colar",0.361963190184049,"subst",-0.363636363636364
"colegio",0.766871165644172,"subst",-0.761904761904762
"colher",0.840490797546012,"subst",1.85
"colocar",0.177914110429448,"verb",1.05882352941176
"comecar",0.355828220858896,"verb",0.727272727272727
"comer",0.809815950920245,"verb",0.888888888888889
"comida",0.674846625766871,"subst",1.72727272727273
"comprar",0.570552147239264,"verb",-0.523809523809524
"computador",0.693251533742331,"subst",1.15555555555556
"conseguir",0.496932515337423,"verb",1.52173913043478
"contar",0.625766871165644,"verb",1.21739130434783
"contente",0.521472392638037,"adj",0.96
"copo",0.852760736196319,"subst",2.4375
